,date,state,confirmed,confirmed_cum
0,2020-01-25,Australian Capital Territory,0,0
1,2020-01-25,New South Wales,3,3
2,2020-01-25,Northern Territory,0,0
3,2020-01-25,Queensland,0,0
4,2020-01-25,South Australia,0,0
5,2020-01-25,Tasmania,0,0
6,2020-01-25,Victoria,1,1
7,2020-01-25,Western Australia,0,0
8,2020-01-26,Australian Capital Territory,0,0
9,2020-01-26,New South Wales,0,3
10,2020-01-26,Northern Territory,0,0
11,2020-01-26,Queensland,0,0
12,2020-01-26,South Australia,0,0
13,2020-01-26,Tasmania,0,0
14,2020-01-26,Victoria,0,1
15,2020-01-26,Western Australia,0,0
16,2020-01-27,Australian Capital Territory,0,0
17,2020-01-27,New South Wales,1,4
18,2020-01-27,Northern Territory,0,0
19,2020-01-27,Queensland,0,0
20,2020-01-27,South Australia,0,0
21,2020-01-27,Tasmania,0,0
22,2020-01-27,Victoria,0,1
23,2020-01-27,Western Australia,0,0
24,2020-01-28,Australian Capital Territory,0,0
25,2020-01-28,New South Wales,0,4
26,2020-01-28,Northern Territory,0,0
27,2020-01-28,Queensland,0,0
28,2020-01-28,South Australia,0,0
29,2020-01-28,Tasmania,0,0
30,2020-01-28,Victoria,0,1
31,2020-01-28,Western Australia,0,0
32,2020-01-29,Australian Capital Territory,0,0
33,2020-01-29,New South Wales,0,4
34,2020-01-29,Northern Territory,0,0
35,2020-01-29,Queensland,2,2
36,2020-01-29,South Australia,0,0
37,2020-01-29,Tasmania,0,0
38,2020-01-29,Victoria,2,3
39,2020-01-29,Western Australia,0,0
40,2020-01-30,Australian Capital Territory,0,0
41,2020-01-30,New South Wales,0,4
42,2020-01-30,Northern Territory,0,0
43,2020-01-30,Queensland,0,2
44,2020-01-30,South Australia,0,0
45,2020-01-30,Tasmania,0,0
46,2020-01-30,Victoria,0,3
47,2020-01-30,Western Australia,0,0
48,2020-01-31,Australian Capital Territory,0,0
49,2020-01-31,New South Wales,0,4
50,2020-01-31,Northern Territory,0,0
51,2020-01-31,Queensland,0,2
52,2020-01-31,South Australia,0,0
53,2020-01-31,Tasmania,0,0
54,2020-01-31,Victoria,0,3
55,2020-01-31,Western Australia,0,0
56,2020-02-01,Australian Capital Territory,0,0
57,2020-02-01,New South Wales,0,4
58,2020-02-01,Northern Territory,0,0
59,2020-02-01,Queensland,0,2
60,2020-02-01,South Australia,0,0
61,2020-02-01,Tasmania,0,0
62,2020-02-01,Victoria,1,4
63,2020-02-01,Western Australia,0,0
64,2020-02-02,Australian Capital Territory,0,0
65,2020-02-02,New South Wales,0,4
66,2020-02-02,Northern Territory,0,0
67,2020-02-02,Queensland,0,2
68,2020-02-02,South Australia,2,2
69,2020-02-02,Tasmania,0,0
70,2020-02-02,Victoria,0,4
71,2020-02-02,Western Australia,0,0
72,2020-02-03,Australian Capital Territory,0,0
73,2020-02-03,New South Wales,0,4
74,2020-02-03,Northern Territory,0,0
75,2020-02-03,Queensland,0,2
76,2020-02-03,South Australia,0,2
77,2020-02-03,Tasmania,0,0
78,2020-02-03,Victoria,0,4
79,2020-02-03,Western Australia,0,0
80,2020-02-04,Australian Capital Territory,0,0
81,2020-02-04,New South Wales,0,4
82,2020-02-04,Northern Territory,0,0
83,2020-02-04,Queensland,1,3
84,2020-02-04,South Australia,0,2
85,2020-02-04,Tasmania,0,0
86,2020-02-04,Victoria,0,4
87,2020-02-04,Western Australia,0,0
88,2020-02-05,Australian Capital Territory,0,0
89,2020-02-05,New South Wales,0,4
90,2020-02-05,Northern Territory,0,0
91,2020-02-05,Queensland,1,4
92,2020-02-05,South Australia,0,2
93,2020-02-05,Tasmania,0,0
94,2020-02-05,Victoria,0,4
95,2020-02-05,Western Australia,0,0
96,2020-02-06,Australian Capital Territory,0,0
97,2020-02-06,New South Wales,0,4
98,2020-02-06,Northern Territory,0,0
99,2020-02-06,Queensland,1,5
100,2020-02-06,South Australia,0,2
101,2020-02-06,Tasmania,0,0
102,2020-02-06,Victoria,0,4
103,2020-02-06,Western Australia,0,0
104,2020-02-07,Australian Capital Territory,0,0
105,2020-02-07,New South Wales,0,4
106,2020-02-07,Northern Territory,0,0
107,2020-02-07,Queensland,0,5
108,2020-02-07,South Australia,0,2
109,2020-02-07,Tasmania,0,0
110,2020-02-07,Victoria,0,4
111,2020-02-07,Western Australia,0,0
112,2020-02-08,Australian Capital Territory,0,0
113,2020-02-08,New South Wales,0,4
114,2020-02-08,Northern Territory,0,0
115,2020-02-08,Queensland,0,5
116,2020-02-08,South Australia,0,2
117,2020-02-08,Tasmania,0,0
118,2020-02-08,Victoria,0,4
119,2020-02-08,Western Australia,0,0
120,2020-02-09,Australian Capital Territory,0,0
121,2020-02-09,New South Wales,0,4
122,2020-02-09,Northern Territory,0,0
123,2020-02-09,Queensland,0,5
124,2020-02-09,South Australia,0,2
125,2020-02-09,Tasmania,0,0
126,2020-02-09,Victoria,0,4
127,2020-02-09,Western Australia,0,0
128,2020-02-10,Australian Capital Territory,0,0
129,2020-02-10,New South Wales,0,4
130,2020-02-10,Northern Territory,0,0
131,2020-02-10,Queensland,0,5
132,2020-02-10,South Australia,0,2
133,2020-02-10,Tasmania,0,0
134,2020-02-10,Victoria,0,4
135,2020-02-10,Western Australia,0,0
136,2020-02-11,Australian Capital Territory,0,0
137,2020-02-11,New South Wales,0,4
138,2020-02-11,Northern Territory,0,0
139,2020-02-11,Queensland,0,5
140,2020-02-11,South Australia,0,2
141,2020-02-11,Tasmania,0,0
142,2020-02-11,Victoria,0,4
143,2020-02-11,Western Australia,0,0
144,2020-02-12,Australian Capital Territory,0,0
145,2020-02-12,New South Wales,0,4
146,2020-02-12,Northern Territory,0,0
147,2020-02-12,Queensland,0,5
148,2020-02-12,South Australia,0,2
149,2020-02-12,Tasmania,0,0
150,2020-02-12,Victoria,0,4
151,2020-02-12,Western Australia,0,0
152,2020-02-13,Australian Capital Territory,0,0
153,2020-02-13,New South Wales,0,4
154,2020-02-13,Northern Territory,0,0
155,2020-02-13,Queensland,0,5
156,2020-02-13,South Australia,0,2
157,2020-02-13,Tasmania,0,0
158,2020-02-13,Victoria,0,4
159,2020-02-13,Western Australia,0,0
160,2020-02-14,Australian Capital Territory,0,0
161,2020-02-14,New South Wales,0,4
162,2020-02-14,Northern Territory,0,0
163,2020-02-14,Queensland,0,5
164,2020-02-14,South Australia,0,2
165,2020-02-14,Tasmania,0,0
166,2020-02-14,Victoria,0,4
167,2020-02-14,Western Australia,0,0
168,2020-02-15,Australian Capital Territory,0,0
169,2020-02-15,New South Wales,0,4
170,2020-02-15,Northern Territory,0,0
171,2020-02-15,Queensland,0,5
172,2020-02-15,South Australia,0,2
173,2020-02-15,Tasmania,0,0
174,2020-02-15,Victoria,0,4
175,2020-02-15,Western Australia,0,0
176,2020-02-16,Australian Capital Territory,0,0
177,2020-02-16,New South Wales,0,4
178,2020-02-16,Northern Territory,0,0
179,2020-02-16,Queensland,0,5
180,2020-02-16,South Australia,0,2
181,2020-02-16,Tasmania,0,0
182,2020-02-16,Victoria,0,4
183,2020-02-16,Western Australia,0,0
184,2020-02-17,Australian Capital Territory,0,0
185,2020-02-17,New South Wales,0,4
186,2020-02-17,Northern Territory,0,0
187,2020-02-17,Queensland,0,5
188,2020-02-17,South Australia,0,2
189,2020-02-17,Tasmania,0,0
190,2020-02-17,Victoria,0,4
191,2020-02-17,Western Australia,0,0
192,2020-02-18,Australian Capital Territory,0,0
193,2020-02-18,New South Wales,0,4
194,2020-02-18,Northern Territory,0,0
195,2020-02-18,Queensland,0,5
196,2020-02-18,South Australia,0,2
197,2020-02-18,Tasmania,0,0
198,2020-02-18,Victoria,0,4
199,2020-02-18,Western Australia,0,0
200,2020-02-19,Australian Capital Territory,0,0
201,2020-02-19,New South Wales,0,4
202,2020-02-19,Northern Territory,0,0
203,2020-02-19,Queensland,0,5
204,2020-02-19,South Australia,0,2
205,2020-02-19,Tasmania,0,0
206,2020-02-19,Victoria,0,4
207,2020-02-19,Western Australia,0,0
208,2020-02-20,Australian Capital Territory,0,0
209,2020-02-20,New South Wales,0,4
210,2020-02-20,Northern Territory,0,0
211,2020-02-20,Queensland,0,5
212,2020-02-20,South Australia,0,2
213,2020-02-20,Tasmania,0,0
214,2020-02-20,Victoria,0,4
215,2020-02-20,Western Australia,0,0
216,2020-02-21,Australian Capital Territory,0,0
217,2020-02-21,New South Wales,0,4
218,2020-02-21,Northern Territory,0,0
219,2020-02-21,Queensland,2,7
220,2020-02-21,South Australia,1,3
221,2020-02-21,Tasmania,0,0
222,2020-02-21,Victoria,0,4
223,2020-02-21,Western Australia,1,1
224,2020-02-22,Australian Capital Territory,0,0
225,2020-02-22,New South Wales,0,4
226,2020-02-22,Northern Territory,0,0
227,2020-02-22,Queensland,1,8
228,2020-02-22,South Australia,0,3
229,2020-02-22,Tasmania,0,0
230,2020-02-22,Victoria,0,4
231,2020-02-22,Western Australia,0,1
232,2020-02-23,Australian Capital Territory,0,0
233,2020-02-23,New South Wales,0,4
234,2020-02-23,Northern Territory,0,0
235,2020-02-23,Queensland,0,8
236,2020-02-23,South Australia,0,3
237,2020-02-23,Tasmania,0,0
238,2020-02-23,Victoria,0,4
239,2020-02-23,Western Australia,0,1
240,2020-02-24,Australian Capital Territory,0,0
241,2020-02-24,New South Wales,0,4
242,2020-02-24,Northern Territory,0,0
243,2020-02-24,Queensland,0,8
244,2020-02-24,South Australia,0,3
245,2020-02-24,Tasmania,0,0
246,2020-02-24,Victoria,0,4
247,2020-02-24,Western Australia,0,1
248,2020-02-25,Australian Capital Territory,0,0
249,2020-02-25,New South Wales,0,4
250,2020-02-25,Northern Territory,0,0
251,2020-02-25,Queensland,0,8
252,2020-02-25,South Australia,0,3
253,2020-02-25,Tasmania,0,0
254,2020-02-25,Victoria,0,4
255,2020-02-25,Western Australia,0,1
256,2020-02-26,Australian Capital Territory,0,0
257,2020-02-26,New South Wales,0,4
258,2020-02-26,Northern Territory,0,0
259,2020-02-26,Queensland,0,8
260,2020-02-26,South Australia,0,3
261,2020-02-26,Tasmania,0,0
262,2020-02-26,Victoria,0,4
263,2020-02-26,Western Australia,0,1
264,2020-02-27,Australian Capital Territory,0,0
265,2020-02-27,New South Wales,0,4
266,2020-02-27,Northern Territory,0,0
267,2020-02-27,Queensland,0,8
268,2020-02-27,South Australia,0,3
269,2020-02-27,Tasmania,0,0
270,2020-02-27,Victoria,3,7
271,2020-02-27,Western Australia,0,1
272,2020-02-28,Australian Capital Territory,0,0
273,2020-02-28,New South Wales,0,4
274,2020-02-28,Northern Territory,0,0
275,2020-02-28,Queensland,1,9
276,2020-02-28,South Australia,0,3
277,2020-02-28,Tasmania,0,0
278,2020-02-28,Victoria,0,7
279,2020-02-28,Western Australia,1,2
280,2020-02-29,Australian Capital Territory,0,0
281,2020-02-29,New South Wales,0,4
282,2020-02-29,Northern Territory,0,0
283,2020-02-29,Queensland,0,9
284,2020-02-29,South Australia,0,3
285,2020-02-29,Tasmania,0,0
286,2020-02-29,Victoria,0,7
287,2020-02-29,Western Australia,0,2
288,2020-03-01,Australian Capital Territory,0,0
289,2020-03-01,New South Wales,1,5
290,2020-03-01,Northern Territory,0,0
291,2020-03-01,Queensland,0,9
292,2020-03-01,South Australia,0,3
293,2020-03-01,Tasmania,0,0
294,2020-03-01,Victoria,2,9
295,2020-03-01,Western Australia,0,2
296,2020-03-02,Australian Capital Territory,0,0
297,2020-03-02,New South Wales,4,9
298,2020-03-02,Northern Territory,0,0
299,2020-03-02,Queensland,0,9
300,2020-03-02,South Australia,0,3
301,2020-03-02,Tasmania,0,0
302,2020-03-02,Victoria,0,9
303,2020-03-02,Western Australia,0,2
304,2020-03-03,Australian Capital Territory,0,0
305,2020-03-03,New South Wales,6,15
306,2020-03-03,Northern Territory,0,0
307,2020-03-03,Queensland,1,10
308,2020-03-03,South Australia,0,3
309,2020-03-03,Tasmania,1,1
310,2020-03-03,Victoria,0,9
311,2020-03-03,Western Australia,0,2
312,2020-03-04,Australian Capital Territory,0,0
313,2020-03-04,New South Wales,7,22
314,2020-03-04,Northern Territory,0,0
315,2020-03-04,Queensland,1,11
316,2020-03-04,South Australia,2,5
317,2020-03-04,Tasmania,0,1
318,2020-03-04,Victoria,1,10
319,2020-03-04,Western Australia,0,2
320,2020-03-05,Australian Capital Territory,0,0
321,2020-03-05,New South Wales,3,25
322,2020-03-05,Northern Territory,0,0
323,2020-03-05,Queensland,2,13
