date,NSW_cum,NSW_new,VIC_cum,VIC_new,QLD_cum,QLD_new,WA_cum,WA_new,SA_cum,SA_new,TAS_cum,TAS_new,ACT_cum,ACT_new,NT_cum,NT_new
2021-02-22,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-23,1320,1300,580,580,203,203,378,378,170,170,0,0,50,50,88,88
2021-02-24,3200,1880,1255,675,527,324,800,422,405,235,389,389,250,200,88,0
2021-02-25,5500,2300,2063,808,942,415,1241,441,743,338,813,424,524,274,88,0
2021-02-26,7500,2000,2902,839,1377,435,1654,413,1053,310,1165,352,778,254,581,493
2021-02-27,7500,0,3613,711,2030,653,2299,645,1371,318,1165,0,980,202,581,0
2021-02-28,7500,0,3762,149,2030,0,2584,285,1481,110,1165,0,980,0,581,0
2021-03-01,10339,2839,3862,100,2030,0,2862,278,1630,149,1165,0,980,0,748,167
2021-03-02,12424,2085,5020,1158,3010,980,2862,0,1920,290,1165,0,1173,193,985,237
2021-03-03,14600,2176,6676,1656,4212,1202,3519,657,2326,406,1500,335,1319,146,1238,253
2021-03-04,16805,2205,8645,1969,5409,1197,4347,828,2682,356,1970,470,1563,244,1588,350
2021-03-05,19892,3087,10907,2262,6534,1125,5546,1199,3062,380,2327,357,1759,196,1840,252
2021-03-06,19892,0,12851,1944,8008,1474,6616,1070,3455,393,2327,0,1951,192,1840,0
2021-03-07,19892,0,13578,727,8300,292,6872,256,3585,130,2327,0,1951,0,1840,0
2021-03-08,21763,1871,14422,844,8300,0,7840,968,3705,120,2327,0,1951,0,2066,226
2021-03-09,23923,2160,15494,1072,10092,1792,9289,1449,3824,119,2327,0,2157,206,2349,283
2021-03-10,27000,3077,18325,2831,11996,1904,11373,2084,4274,450,2713,386,2382,225,2684,335
2021-03-11,31313,4313,22317,3992,13989,1993,13498,2125,4871,597,3255,542,2687,305,3070,386
2021-03-12,31313,0,25948,3631,16120,2131,15952,2454,5822,951,3667,412,3025,338,3262,192
2021-03-13,36820,5507,30298,4350,18411,2291,17692,1740,6590,768,3667,0,3363,338,3519,257
2021-03-14,36820,0,31202,904,18705,294,18391,699,7124,534,3667,0,3363,0,3519,0
2021-03-15,37553,733,31808,606,18705,0,18948,557,7272,148,3853,186,3363,0,3519,0
2021-03-16,41444,3891,35282,3474,21861,3156,20550,1602,8300,1028,4616,763,3869,506,3715,196
