country,code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,daily_vaccinations_per_million,daily_people_vaccinated,daily_people_vaccinated_per_hundred
Australia,AUS,2021-02-21,20,20,,,,,0.0,0.0,,,,,
Australia,AUS,2021-02-22,2789,2789,,,2769,2769,0.01,0.01,,,106,2769,0.011
Australia,AUS,2021-02-23,6914,6911,3,,4125,3447,0.03,0.03,0.0,,132,3446,0.013
Australia,AUS,2021-02-24,16629,16626,3,,9715,5536,0.06,0.06,0.0,,211,5535,0.021
Australia,AUS,2021-02-25,23510,23501,9,,6881,5872,0.09,0.09,0.0,,224,5870,0.022
Australia,AUS,2021-02-26,30000,29989,11,,6490,5996,0.11,0.11,0.0,,229,5994,0.023
Australia,AUS,2021-02-27,31894,31882,12,,1894,5312,0.12,0.12,0.0,,203,5310,0.02
Australia,AUS,2021-02-28,34630,34618,12,,2736,4944,0.13,0.13,0.0,,189,4943,0.019
Australia,AUS,2021-03-01,41907,41895,12,,7277,5588,0.16,0.16,0.0,,213,5587,0.021
Australia,AUS,2021-03-02,51070,51058,12,,9163,6308,0.2,0.2,0.0,,241,6307,0.024
Australia,AUS,2021-03-03,61009,60994,15,,9939,6340,0.23,0.23,0.0,,242,6338,0.024
Australia,AUS,2021-03-04,71867,71848,19,,10858,6908,0.27,0.27,0.0,,264,6907,0.026
Australia,AUS,2021-03-05,76940,76916,24,,5073,6706,0.29,0.29,0.0,,256,6704,0.026
Australia,AUS,2021-03-06,81345,81321,24,,4405,7064,0.31,0.31,0.0,,270,7063,0.027
Australia,AUS,2021-03-07,86369,86345,24,,5024,7391,0.33,0.33,0.0,,282,7390,0.028
Australia,AUS,2021-03-08,94908,94884,24,,8539,7572,0.36,0.36,0.0,,289,7570,0.029
Australia,AUS,2021-03-09,108328,108301,27,,13420,8180,0.41,0.41,0.0,,312,8178,0.031
Australia,AUS,2021-03-10,125000,124972,28,,16672,9142,0.48,0.48,0.0,,349,9140,0.035
Australia,AUS,2021-03-11,135109,135077,32,,10109,9035,0.52,0.52,0.0,,345,9033,0.035
Australia,AUS,2021-03-12,159294,159260,34,,24185,11765,0.61,0.61,0.0,,449,11763,0.045
Australia,AUS,2021-03-13,162551,162517,34,,3257,11601,0.62,0.62,0.0,,443,11599,0.044
Australia,AUS,2021-03-14,164781,164746,35,,2230,11202,0.63,0.63,0.0,,428,11200,0.043
Australia,AUS,2021-03-15,182437,182214,223,,17656,12504,0.7,0.7,0.0,,478,12476,0.048
Australia,AUS,2021-03-16,203557,203032,525,,21120,13604,0.78,0.78,0.0,,520,13533,0.052
Australia,AUS,2021-03-17,226057,224711,1346,,22500,14437,0.86,0.86,0.01,,552,14248,0.054
Australia,AUS,2021-03-18,240754,238673,2081,,14697,15092,0.92,0.91,0.01,,577,14799,0.057
Australia,AUS,2021-03-19,253831,251060,2771,,13077,13505,0.97,0.96,0.01,,516,13114,0.05
Australia,AUS,2021-03-20,256782,253858,2924,,2951,13462,0.98,0.97,0.01,,514,13049,0.05
Australia,AUS,2021-03-21,281960,262283,19677,,25178,16740,1.08,1.0,0.08,,639,13934,0.053
Australia,AUS,2021-03-22,312502,289317,23185,,30542,18581,1.19,1.11,0.09,,710,15300,0.058
Australia,AUS,2021-03-23,358502,334123,24379,,46000,22135,1.37,1.28,0.09,,846,18727,0.072
Australia,AUS,2021-03-24,408410,379837,28573,,49908,26050,1.56,1.45,0.11,,995,22161,0.085
Australia,AUS,2021-03-25,460155,427294,32861,,51745,31343,1.76,1.63,0.13,,1197,26946,0.103
Australia,AUS,2021-03-26,506465,471771,34694,,46310,36091,1.93,1.8,0.13,,1379,31530,0.12
