date,new_cases,new_deaths,total_cases,total_deaths
2020-03-08,45,4,70,4
2020-03-15,179,3,249,7
2020-03-22,832,2,1081,9
2020-03-29,2728,7,3809,16
2020-04-05,1826,20,5635,36
2020-04-12,654,25,6289,61
2020-04-19,297,12,6586,73
2020-04-26,117,12,6703,85
2020-05-03,80,14,6783,99
2020-05-10,146,2,6929,101
2020-05-17,107,2,7036,103
2020-05-24,70,4,7106,107
2020-05-31,79,0,7185,107
2020-06-07,70,0,7255,107
2020-06-14,47,0,7302,107
2020-06-21,134,0,7436,107
2020-06-28,205,1,7641,108
2020-07-05,721,1,8362,109
2020-07-12,1191,4,9553,113
2020-07-19,1888,16,11441,129
2020-07-26,2509,45,13950,174
2020-08-02,3332,95,17282,269
2020-08-09,3416,106,20698,375
2020-08-16,2337,138,23035,513
2020-08-23,1567,114,24602,627
2020-08-30,945,97,25547,724
2020-09-06,660,58,26207,782
2020-09-13,400,46,26607,828
2020-09-20,278,36,26885,864
2020-09-27,131,23,27016,887
2020-10-04,105,19,27121,906
2020-10-11,123,5,27244,911
2020-10-18,139,1,27383,912
2020-10-25,116,2,27499,914
2020-11-01,91,0,27590,914
2020-11-08,62,0,27652,914
2020-11-15,59,3,27711,917
2020-11-22,96,0,27807,917
2020-11-29,78,1,27885,918
2020-12-06,71,1,27956,919
2020-12-13,69,0,28025,919
2020-12-20,103,0,28128,919
2020-12-27,168,1,28296,920
2021-01-03,187,2,28483,922
2021-01-10,112,0,28595,922
2021-01-17,113,1,28708,923
2021-01-24,58,0,28766,923
2021-01-31,45,0,28811,923
2021-02-07,39,0,28850,923
2021-02-14,48,0,28898,923
2021-02-21,28,1,28926,924
2021-02-28,44,0,28970,924
2021-03-07,67,0,29037,924
2021-03-14,80,1,29117,925
2021-03-21,79,0,29196,925
2021-03-28,64,0,29260,925
2021-04-04,88,1,29348,926
2021-04-11,57,0,29405,926
2021-04-18,114,2,29519,928
2021-04-25,147,0,29666,928
2021-05-02,160,0,29826,928
2021-05-09,97,0,29923,928
2021-05-16,52,0,29975,928
2021-05-23,36,0,30011,928
2021-05-30,87,0,30098,928
2021-06-06,357,0,30455,928
2021-06-13,58,0,30513,928
