date,confirmed,confirmed_cum,deaths,deaths_cum,tests,tests_cum,positives,positives_cum,recovered,recovered_cum
2020-11-24,10141,10141,540,540,47540,47540,11502,11502,,
2020-11-25,15360,25501,674,1214,54288,101828,16672,28174,,
2020-11-26,16846,42347,580,1794,57120,158948,18161,46335,,
2020-11-27,17059,59406,579,2373,63763,222711,18247,64582,,
2020-11-28,15183,74589,599,2972,60368,283079,16469,81051,,
2020-11-29,11483,86072,283,3255,37742,320821,12276,93327,,
2020-11-30,5734,91806,121,3376,23174,343995,6441,99768,,
2020-12-01,9066,100872,449,3825,44535,388530,10522,110290,,
2020-12-02,13870,114742,609,4434,55056,443586,15171,125461,,
2020-12-03,14838,129580,620,5054,64452,508038,15979,141440,,
2020-12-04,13230,142810,531,5585,56872,564910,14757,156197,,
2020-12-05,12430,155240,502,6087,65627,630537,14323,170520,,
2020-12-06,9175,164415,228,6315,35869,666406,10070,180590,,
2020-12-07,4424,168839,92,6407,20824,687230,5103,185693,,
2020-12-08,8315,177154,411,6818,48586,735816,10483,196176,,
2020-12-09,12164,189318,568,7386,51537,787353,13353,209529,,
2020-12-10,13747,203065,470,7856,55051,842404,14880,224409,,
2020-12-11,13105,216170,544,8400,54978,897382,14539,238948,,
2020-12-12,11498,227668,502,8902,54829,952211,13233,252181,,
2020-12-13,8978,236646,188,9090,37081,989292,10132,262313,,
2020-12-14,4858,241504,96,9186,24994,1014286,5944,268257,,
2020-12-15,6908,248412,349,9535,46647,1060933,8974,277231,,
2020-12-16,12447,260859,605,10140,54467,1115400,13646,290877,,
2020-12-17,11953,272812,431,10571,51660,1167060,12979,303856,,
2020-12-18,10992,283804,426,10997,48656,1215716,11925,315781,,
2020-12-19,11261,295065,483,11480,49598,1265314,12241,328022,,
2020-12-20,8593,303658,143,11623,34297,1299611,9232,337254,,
2020-12-21,4633,308291,77,11700,23918,1323529,6015,343269,,
2020-12-22,7190,315481,309,12009,40534,1364063,8497,351766,,
2020-12-23,12363,327844,472,12481,52412,1416475,13516,365282,,
2020-12-24,13114,340958,552,13033,55581,1472056,14543,379825,8002,8002
2020-12-25,9077,350035,244,13277,35044,1507100,9815,389640,13023,21025
2020-12-26,5048,355083,68,13345,20632,1527732,5720,395360,10804,31829
2020-12-27,3678,358761,56,13401,17341,1545073,4292,399652,10061,41890
2020-12-28,3211,361972,27,13428,19002,1564075,3820,403472,11155,53045
2020-12-29,7914,369886,311,13739,44673,1608748,9246,412718,9792,62837
2020-12-30,12955,382841,565,14304,54230,1662978,14149,426867,4928,67765
2020-12-31,13397,396238,532,14836,53703,1716681,14557,441424,7841,75606
2021-01-01,11008,407246,400,15236,46724,1763405,12152,453576,13359,88965
2021-01-02,6945,414191,102,15338,27604,1791009,7722,461298,11784,100749
2021-01-03,5739,419930,61,15399,29618,1820627,6702,468000,7831,108580
2021-01-04,4432,424362,42,15441,25436,1846063,5225,473225,5310,113890
2021-01-05,7624,431986,341,15782,48466,1894529,8757,481982,4939,118829
2021-01-06,14151,446137,553,16335,61758,1956287,15217,497199,4044,122873
2021-01-08,8790,454927,332,16667,50177,2006464,10179,507378,12785,135658
2021-01-09,10548,465475,438,17105,58371,2064835,11952,519330,13071,148729
