date,state,state_abbrev,confirmed,confirmed_cum,deaths,deaths_cum,tests,tests_cum,positives,positives_cum,recovered,recovered_cum
2020-11-24,łódzkie,LD,561,561,39,39,3067,3067,658,658,0,0
2020-11-25,łódzkie,LD,1007,1568,60,99,3813,6880,1089,1747,0,0
2020-11-26,łódzkie,LD,1106,2674,37,136,4195,11075,1208,2955,0,0
2020-11-27,łódzkie,LD,1002,3676,43,179,4490,15565,1120,4075,0,0
2020-11-28,łódzkie,LD,655,4331,60,239,3670,19235,765,4840,0,0
2020-11-29,łódzkie,LD,839,5170,37,276,2768,22003,895,5735,0,0
2020-11-30,łódzkie,LD,376,5546,10,286,1873,23876,416,6151,0,0
2020-12-01,łódzkie,LD,613,6159,21,307,3770,27646,767,6918,0,0
2020-12-02,łódzkie,LD,1011,7170,31,338,4266,31912,1109,8027,0,0
2020-12-03,łódzkie,LD,892,8062,41,379,3646,35558,987,9014,0,0
2020-12-04,łódzkie,LD,918,8980,48,427,3906,39464,1018,10032,0,0
2020-12-05,łódzkie,LD,895,9875,44,471,4115,43579,999,11031,0,0
2020-12-06,łódzkie,LD,558,10433,7,478,2616,46195,630,11661,0,0
2020-12-07,łódzkie,LD,238,10671,8,486,1152,47347,258,11919,0,0
2020-12-08,łódzkie,LD,565,11236,35,521,3606,50953,744,12663,0,0
2020-12-09,łódzkie,LD,822,12058,64,585,3835,54788,912,13575,0,0
2020-12-10,łódzkie,LD,867,12925,67,652,3922,58710,959,14534,0,0
2020-12-11,łódzkie,LD,846,13771,41,693,3533,62243,927,15461,0,0
2020-12-12,łódzkie,LD,695,14466,35,728,3358,65601,777,16238,0,0
2020-12-13,łódzkie,LD,576,15042,1,729,2422,68023,625,16863,0,0
2020-12-14,łódzkie,LD,195,15237,0,729,1485,69508,245,17108,0,0
2020-12-15,łódzkie,LD,451,15688,26,755,3195,72703,564,17672,0,0
2020-12-16,łódzkie,LD,945,16633,68,823,4051,76754,1028,18700,0,0
2020-12-17,łódzkie,LD,776,17409,27,850,3625,80379,853,19553,0,0
2020-12-18,łódzkie,LD,659,18068,34,884,3379,83758,729,20282,0,0
2020-12-19,łódzkie,LD,767,18835,32,916,3528,87286,846,21128,0,0
2020-12-20,łódzkie,LD,449,19284,9,925,1970,89256,481,21609,0,0
2020-12-21,łódzkie,LD,271,19555,2,927,1139,90395,304,21913,0,0
2020-12-22,łódzkie,LD,459,20014,22,949,2687,93082,546,22459,0,0
2020-12-23,łódzkie,LD,864,20878,25,974,3519,96601,929,23388,0,0
2020-12-24,łódzkie,LD,950,21828,51,1025,3741,100342,1059,24447,617,617
2020-12-25,łódzkie,LD,739,22567,10,1035,2570,102912,775,25222,819,1436
2020-12-26,łódzkie,LD,280,22847,0,1035,1148,104060,309,25531,710,2146
2020-12-27,łódzkie,LD,199,23046,2,1037,1196,105256,243,25774,609,2755
2020-12-28,łódzkie,LD,199,23245,0,1037,1126,106382,238,26012,752,3507
2020-12-29,łódzkie,LD,671,23916,15,1052,3456,109838,772,26784,539,4046
2020-12-30,łódzkie,LD,801,24717,36,1088,3462,113300,887,27671,340,4386
2020-12-31,łódzkie,LD,703,25420,23,1111,3162,116462,761,28432,584,4970
2021-01-01,łódzkie,LD,704,26124,25,1136,2841,119303,770,29202,968,5938
2021-01-02,łódzkie,LD,604,26728,4,1140,2293,121596,633,29835,774,6712
2021-01-03,łódzkie,LD,291,27019,0,1140,1810,123406,341,30176,587,7299
2021-01-04,łódzkie,LD,287,27306,0,1140,1628,125034,337,30513,324,7623
2021-01-05,łódzkie,LD,487,27793,21,1161,3318,128352,573,31086,322,7945
2021-01-06,łódzkie,LD,1058,28851,125,1286,4661,133013,1136,32222,287,8232
2021-01-08,łódzkie,LD,546,29397,50,1336,3356,136369,657,32879,838,9070
2021-01-09,łódzkie,LD,702,30099,29,1365,4094,140463,788,33667,754,9824
2021-01-10,łódzkie,LD,573,30672,7,1372,2735,143198,607,34274,599,10423
2021-01-11,łódzkie,LD,218,30890,2,1374,1587,144785,266,34540,558,10981
2021-01-12,łódzkie,LD,285,31175,28,1402,3660,148445,362,34902,392,11373
2021-01-13,łódzkie,LD,567,31742,43,1445,5172,153617,628,35530,326,11699
2021-01-14,łódzkie,LD,554,32296,35,1480,5532,159149,601,36131,752,12451
2021-01-15,łódzkie,LD,495,32791,37,1517,4855,164004,535,36666,814,13265
2021-01-16,łódzkie,LD,415,33206,34,1551,4385,168389,451,37117,627,13892
2021-01-17,łódzkie,LD,351,33557,5,1556,2750,171139,376,37493,551,14443
2021-01-18,łódzkie,LD,97,33654,2,1558,1092,172231,121,37614,720,15163
2021-01-19,łódzkie,LD,275,33929,28,1586,2920,175151,324,37938,599,15762
2021-01-20,łódzkie,LD,393,34322,41,1627,3219,178370,435,38373,229,15991
2021-01-21,łódzkie,LD,410,34732,44,1671,3502,181872,474,38847,452,16443
2021-01-22,łódzkie,LD,351,35083,23,1694,2666,184538,404,39251,537,16980
2021-01-23,łódzkie,LD,348,35431,26,1720,2952,187490,384,39635,650,17630
2021-01-24,łódzkie,LD,283,35714,4,1724,1981,189471,304,39939,437,18067
2021-01-25,łódzkie,LD,118,35832,0,1724,1097,190568,135,40074,456,18523
2021-01-26,łódzkie,LD,256,36088,13,1737,2830,193398,302,40376,347,18870
2021-01-27,łódzkie,LD,392,36480,32,1769,3367,196765,435,40811,133,19003
2021-01-28,łódzkie,LD,391,36871,31,1800,3086,199851,451,41262,288,19291
2021-01-29,łódzkie,LD,309,37180,33,1833,2516,202367,342,41604,376,19667
2021-01-30,łódzkie,LD,335,37515,14,1847,2839,205206,382,41986,459,20126
2021-01-31,łódzkie,LD,203,37718,4,1851,1867,207073,225,42211,315,20441
2021-02-01,łódzkie,LD,113,37831,0,1851,1275,208348,147,42358,364,20805
2021-02-02,łódzkie,LD,238,38069,18,1869,3222,211570,305,42663,299,21104
2021-02-03,łódzkie,LD,393,38462,53,1922,3182,214752,446,43109,137,21241
2021-02-04,łódzkie,LD,283,38745,28,1950,2879,217631,332,43441,273,21514
2021-02-05,łódzkie,LD,353,39098,19,1969,2972,220603,395,43836,430,21944
2021-02-06,łódzkie,LD,319,39417,14,1983,2993,223596,364,44200,391,22335
2021-02-07,łódzkie,LD,200,39617,3,1986,1902,225498,224,44424,297,22632
2021-02-08,łódzkie,LD,84,39701,0,1986,1073,226571,98,44522,325,22957
2021-02-09,łódzkie,LD,179,39880,16,2002,2991,229562,239,44761,214,23171
2021-02-10,łódzkie,LD,374,40254,29,2031,3406,232968,415,45176,147,23318
2021-02-11,łódzkie,LD,416,40670,28,2059,3156,236124,460,45636,285,23603
2021-02-12,łódzkie,LD,248,40918,18,2077,2569,238693,297,45933,375,23978
2021-02-13,łódzkie,LD,311,41229,13,2090,3122,241815,342,46275,313,24291
2021-02-14,łódzkie,LD,231,41460,3,2093,1980,243795,250,46525,343,24634
2021-02-15,łódzkie,LD,74,41534,0,2093,1205,245000,85,46610,310,24944
2021-02-16,łódzkie,LD,355,41889,16,2109,3260,248260,399,47009,230,25174
2021-02-17,łódzkie,LD,478,42367,14,2123,3440,251700,523,47532,105,25279
2021-02-18,łódzkie,LD,311,42678,14,2137,2953,254653,348,47880,224,25503
2021-02-19,łódzkie,LD,495,43173,22,2159,3220,257873,535,48415,384,25887
2021-02-20,łódzkie,LD,446,43619,11,2170,3172,261045,479,48894,434,26321
2021-02-21,łódzkie,LD,264,43883,10,2180,2012,263057,294,49188,258,26579
2021-02-22,łódzkie,LD,138,44021,0,2180,1342,264399,160,49348,325,26904
2021-02-23,łódzkie,LD,401,44422,9,2189,2974,267373,447,49795,243,27147
2021-02-24,łódzkie,LD,639,45061,13,2202,4035,271408,685,50480,93,27240
2021-02-25,łódzkie,LD,511,45572,31,2233,3477,274885,570,51050,350,27590
2021-02-26,łódzkie,LD,511,46083,10,2243,3116,278001,548,51598,443,28033
2021-02-27,łódzkie,LD,710,46793,15,2258,3643,281644,751,52349,377,28410
2021-02-28,łódzkie,LD,368,47161,2,2260,2015,283659,392,52741,454,28864
2021-03-01,łódzkie,LD,186,47347,0,2260,1452,285111,212,52953,466,29330
2021-03-02,łódzkie,LD,443,47790,11,2271,3446,288557,501,53454,281,29611
2021-03-03,łódzkie,LD,960,48750,24,2295,4287,292844,1010,54464,175,29786
2021-03-04,łódzkie,LD,792,49542,8,2303,3993,296837,831,55295,435,30221
2021-03-05,łódzkie,LD,700,50242,16,2319,3418,300255,747,56042,551,30772
2021-03-06,łódzkie,LD,736,50978,16,2335,3925,304180,788,56830,576,31348
2021-03-07,łódzkie,LD,576,51554,3,2338,2999,307179,619,57449,519,31867
2021-03-08,łódzkie,LD,235,51789,0,2338,1540,308719,277,57726,633,32500
2021-03-09,łódzkie,LD,621,52410,10,2348,4068,312787,695,58421,413,32913
2021-03-10,łódzkie,LD,1021,53431,19,2367,4564,317351,1069,59490,224,33137
2021-03-11,łódzkie,LD,1067,54498,19,2386,4725,322076,1125,60615,544,33681
2021-03-12,łódzkie,LD,867,55365,22,2408,3744,325820,918,61533,834,34515
2021-03-13,łódzkie,LD,1185,56550,20,2428,4642,330462,1244,62777,797,35312
2021-03-14,łódzkie,LD,782,57332,6,2434,2944,333406,820,63597,620,35932
2021-03-15,łódzkie,LD,456,57788,0,2434,2160,335566,512,64109,743,36675
2021-03-16,łódzkie,LD,1063,58851,14,2448,4849,340415,1140,65249,612,37287
2021-03-17,łódzkie,LD,1466,60317,29,2477,5378,345793,1547,66796,293,37580
2021-03-18,łódzkie,LD,1348,61665,25,2502,4784,350577,1418,68214,735,38315
2021-03-19,łódzkie,LD,1359,63024,26,2528,5140,355717,1432,69646,976,39291
2021-03-20,łódzkie,LD,1419,64443,15,2543,5325,361042,1488,71134,1073,40364
2021-03-21,łódzkie,LD,1109,65552,8,2551,3799,364841,1172,72306,882,41246
2021-03-22,łódzkie,LD,861,66413,2,2553,3282,368123,989,73295,1038,42284
2021-03-23,łódzkie,LD,1111,67524,24,2577,5161,373284,1282,74577,897,43181
2021-03-24,łódzkie,LD,1934,69458,22,2599,6411,379695,2044,76621,539,43720
2021-03-25,łódzkie,LD,2107,71565,33,2632,6851,386546,2213,78834,1097,44817
2021-03-26,łódzkie,LD,1871,73436,31,2663,6991,393537,1981,80815,1401,46218
2021-03-27,łódzkie,LD,1694,75130,23,2686,6316,399853,1789,82604,1438,47656
2021-03-28,łódzkie,LD,1580,76710,10,2696,5071,404924,1663,84267,1194,48850
2021-03-29,łódzkie,LD,928,77638,0,2696,3041,407965,981,85248,1400,50250
2021-03-30,łódzkie,LD,1290,78928,25,2721,5962,413927,1381,86629,1477,51727
2021-03-31,łódzkie,LD,1832,80760,46,2767,6904,420831,1931,88560,600,52327
2021-04-01,łódzkie,LD,2120,82880,43,2810,7236,428067,2219,90779,1544,53871
2021-04-02,łódzkie,LD,1878,84758,30,2840,6353,434420,2008,92787,1884,55755
2021-04-03,łódzkie,LD,1548,86306,68,2908,5553,439973,1631,94418,1960,57715
2021-04-04,łódzkie,LD,1378,87684,5,2913,4323,444296,1436,95854,1843,59558
2021-04-05,łódzkie,LD,836,88520,0,2913,2908,447204,890,96744,1708,61266
2021-04-06,łódzkie,LD,495,89015,2,2915,2277,449481,529,97273,1618,62884
2021-04-07,łódzkie,LD,1093,90108,20,2935,6138,455619,1214,98487,1122,64006
2021-04-08,łódzkie,LD,1908,92016,63,2998,7325,462944,2009,100496,1493,65499
2021-04-09,łódzkie,LD,2138,94154,52,3050,7479,470423,2224,102720,1876,67375
2021-04-10,łódzkie,LD,1671,95825,61,3111,6978,477401,1805,104525,2337,69712
2021-04-11,łódzkie,LD,1676,97501,16,3127,6246,483647,1802,106327,1487,71199
2021-04-12,łódzkie,LD,722,98223,10,3137,3164,486811,791,107118,1568,72767
2021-04-13,łódzkie,LD,1073,99296,38,3175,5935,492746,1200,108318,1449,74216
2021-04-14,łódzkie,LD,1635,100931,40,3215,7273,500019,1728,110046,842,75058
2021-04-15,łódzkie,LD,1298,102229,63,3278,5921,505940,1424,111470,659,75717
2021-04-16,łódzkie,LD,1386,103615,41,3319,6767,512707,1515,112985,1444,77161
2021-04-17,łódzkie,LD,1095,104710,32,3351,6326,519033,1192,114177,2035,79196
2021-04-18,łódzkie,LD,861,105571,5,3356,3754,522787,958,115135,1916,81112
2021-04-19,łódzkie,LD,412,105983,1,3357,2456,525243,479,115614,1563,82675
2021-04-20,łódzkie,LD,713,106696,38,3395,5354,530597,814,116428,1619,84294
2021-04-21,łódzkie,LD,1051,107747,61,3456,5747,536344,1177,117605,697,84991
2021-04-22,łódzkie,LD,899,108646,67,3523,5019,541363,990,118595,1289,86280
2021-04-23,łódzkie,LD,745,109391,41,3564,4073,545436,832,119427,1579,87859
2021-04-24,łódzkie,LD,691,110082,31,3595,5335,550771,774,120201,1518,89377
2021-04-25,łódzkie,LD,496,110578,19,3614,3177,553948,560,120761,1200,90577
2021-04-26,łódzkie,LD,247,110825,1,3615,2060,556008,278,121039,1086,91663
2021-04-27,łódzkie,LD,592,111417,29,3644,4856,560864,650,121689,940,92603
2021-04-28,łódzkie,LD,670,112087,45,3689,5578,566442,792,122481,519,93122
2021-04-29,łódzkie,LD,561,112648,58,3747,4556,570998,616,123097,844,93966
2021-04-30,łódzkie,LD,522,113170,32,3779,4108,575106,575,123672,961,94927
2021-05-01,łódzkie,LD,459,113629,37,3816,4561,579667,584,124256,1060,95987
2021-05-02,łódzkie,LD,235,113864,8,3824,2242,581909,273,124529,758,96745
2021-05-03,łódzkie,LD,239,114103,2,3826,1983,583892,276,124805,678,97423
2021-05-04,łódzkie,LD,184,114287,1,3827,2164,586056,216,125021,490,97913
