country,code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,daily_vaccinations_per_million,daily_people_vaccinated,daily_people_vaccinated_per_hundred
Poland,POL,2020-12-28,2000,2000,,,,,0.01,0.01,,,,,
Poland,POL,2020-12-29,6300,6300,,,4300,4300,0.02,0.02,,,108,4300,0.011
Poland,POL,2020-12-30,36300,36300,,,30000,17150,0.09,0.09,,,430,17150,0.043
Poland,POL,2020-12-31,47600,47600,,,11300,15200,0.12,0.12,,,381,15200,0.038
Poland,POL,2021-01-01,,,,,,11749,,,,,295,11749,0.029
Poland,POL,2021-01-02,50391,50391,,,,9678,0.13,0.13,,,243,9678,0.024
Poland,POL,2021-01-03,50833,50833,,,442,8139,0.13,0.13,,,204,8139,0.02
Poland,POL,2021-01-04,92220,92220,,,41387,12889,0.23,0.23,,,323,12889,0.032
Poland,POL,2021-01-05,140226,140226,,,48006,19132,0.35,0.35,,,480,19132,0.048
Poland,POL,2021-01-06,160359,160359,,,20133,17723,0.4,0.4,,,445,17723,0.044
Poland,POL,2021-01-07,188956,188956,,,28597,20194,0.47,0.47,,,507,20194,0.051
Poland,POL,2021-01-08,198787,198787,,,9831,21399,0.5,0.5,,,537,21399,0.054
Poland,POL,2021-01-09,200022,200022,,,1235,21376,0.5,0.5,,,536,21376,0.054
Poland,POL,2021-01-10,203053,203053,,,3031,21746,0.51,0.51,,,546,21746,0.055
Poland,POL,2021-01-11,257834,257834,,,54781,23659,0.65,0.65,,,594,23659,0.059
Poland,POL,2021-01-12,309620,309620,,,51786,24199,0.78,0.78,,,607,24199,0.061
Poland,POL,2021-01-13,369212,369212,,,59592,29836,0.93,0.93,,,749,29836,0.075
Poland,POL,2021-01-14,410480,410480,,,41268,31646,1.03,1.03,,,794,31646,0.079
Poland,POL,2021-01-15,436963,436963,,,26483,34025,1.1,1.1,,,854,34025,0.085
Poland,POL,2021-01-16,457303,457303,,,20340,36754,1.15,1.15,,,922,36754,0.092
Poland,POL,2021-01-17,469466,468795,671,,12163,38059,1.18,1.18,0.0,,955,37963,0.095
Poland,POL,2021-01-18,495164,491696,3468,,25698,33904,1.24,1.23,0.01,,851,33409,0.084
Poland,POL,2021-01-19,541229,530055,11174,,46065,33087,1.36,1.33,0.03,,830,31491,0.079
Poland,POL,2021-01-20,591785,566793,24992,,50556,31796,1.48,1.42,0.06,,798,28226,0.071
Poland,POL,2021-01-21,644999,605313,39686,,53214,33503,1.62,1.52,0.1,,841,27833,0.07
Poland,POL,2021-01-22,684277,638798,45479,,39278,35331,1.72,1.6,0.11,,886,28834,0.072
Poland,POL,2021-01-23,701164,654184,46980,,16887,34837,1.76,1.64,0.12,,874,28126,0.071
Poland,POL,2021-01-24,707474,659753,47721,,6310,34001,1.78,1.66,0.12,,853,27280,0.068
Poland,POL,2021-01-25,776987,701222,75765,,69513,40260,1.95,1.76,0.19,,1010,29932,0.075
Poland,POL,2021-01-26,905457,782413,123044,,128470,52033,2.27,1.96,0.31,,1305,36051,0.09
Poland,POL,2021-01-27,1008253,858474,149779,,102796,59495,2.53,2.15,0.38,,1493,41669,0.105
Poland,POL,2021-01-28,1097036,917908,179128,,88783,64577,2.75,2.3,0.45,,1620,44656,0.112
Poland,POL,2021-01-29,1141081,945600,195481,,44045,65258,2.86,2.37,0.49,,1637,43829,0.11
Poland,POL,2021-01-30,1156931,958453,198478,,15850,65110,2.9,2.4,0.5,,1634,43467,0.109
Poland,POL,2021-01-31,1176904,976367,200537,,19973,67061,2.95,2.45,0.5,,1683,45231,0.113
Poland,POL,2021-02-01,1231716,998587,233129,,54812,64961,3.09,2.51,0.58,,1630,42481,0.107
Poland,POL,2021-02-02,1342435,1053245,289190,,110719,62425,3.37,2.64,0.73,,1566,38690,0.097
Poland,POL,2021-02-03,1461578,1117146,344432,,119143,64761,3.67,2.8,0.86,,1625,36953,0.093
Poland,POL,2021-02-04,1566604,1171229,395375,,105026,67081,3.93,2.94,0.99,,1683,36189,0.091
Poland,POL,2021-02-05,1617764,1193034,424730,,51160,68098,4.06,2.99,1.07,,1709,35348,0.089
Poland,POL,2021-02-06,1641158,1200793,440365,,23394,69175,4.12,3.01,1.1,,1736,34620,0.087
Poland,POL,2021-02-07,1656708,1206212,450496,,15550,68543,4.16,3.03,1.13,,1720,32835,0.082
Poland,POL,2021-02-08,,,,,,69071,,,,,1733,35758,0.09
