date,new_cases,new_deaths,total_cases,total_deaths
2020-03-08,6,0,6,0
2020-03-15,97,3,103,3
2020-03-22,431,2,534,5
2020-03-29,1104,13,1638,18
2020-04-05,1989,61,3627,79
2020-04-12,2728,129,6355,208
2020-04-19,2387,137,8742,345
2020-04-26,2531,176,11273,521
2020-05-03,2102,140,13375,661
2020-05-10,2276,122,15651,783
2020-05-17,2606,131,18257,914
2020-05-24,2674,78,20931,992
2020-05-31,2640,68,23571,1060
2020-06-07,2415,90,25986,1150
2020-06-14,3031,86,29017,1236
2020-06-21,2603,109,31620,1345
2020-06-28,2094,89,33714,1434
2020-07-05,2005,77,35719,1511
2020-07-12,1802,57,37521,1568
2020-07-19,2225,49,39746,1617
2020-07-26,2876,47,42622,1664
2020-08-02,3724,57,46346,1721
2020-08-09,4821,79,51167,1800
2020-08-16,4923,69,56090,1869
2020-08-23,5091,82,61181,1951
2020-08-30,5058,81,66239,2032
2020-09-06,4148,81,70387,2113
2020-09-13,3263,68,73650,2181
2020-09-20,4680,100,78330,2281
2020-09-27,7650,142,85980,2423
2020-10-04,12160,180,98140,2603
2020-10-11,23498,369,121638,2972
2020-10-18,45592,553,167230,3525
2020-10-25,74716,790,241946,4315
2020-11-01,124785,1316,366731,5631
2020-11-08,172909,2005,539640,7636
2020-11-15,183478,2409,723118,10045
2020-11-22,160188,3243,883306,13288
2020-11-29,103928,3773,987234,17061
2020-12-06,78343,3060,1065577,20121
2020-12-13,72231,2775,1137808,22896
2020-12-20,67012,2533,1204820,25429
2020-12-27,55103,1778,1259923,27207
2021-01-03,61169,1998,1321092,29205
2021-01-10,67009,2069,1388101,31274
2021-01-17,49942,2160,1438043,33434
2021-01-24,39822,2007,1477865,35441
2021-01-31,37682,1817,1515547,37258
2021-02-07,36873,1904,1552420,39162
2021-02-14,38697,1717,1591117,40879
2021-02-21,49813,1362,1640930,42241
2021-02-28,68226,1598,1709156,43839
2021-03-07,87931,1472,1797087,45311
2021-03-14,111512,1891,1908599,47202
2021-03-21,151874,2117,2060473,49319
2021-03-28,191601,2578,2252074,51897
2021-04-04,187526,3055,2439600,54952
2021-04-11,135990,3478,2575590,58430
