date,country,code,Daily ICU occupancy,Daily ICU occupancy per million,Daily hospital occupancy,Daily hospital occupancy per million
2020-03-31,Australia,AUS,82.0,3.132,426.0,16.274
2020-04-01,Australia,AUS,86.0,3.285,441.0,16.847
2020-04-02,Australia,AUS,92.0,3.514,415.0,15.853
2020-04-03,Australia,AUS,93.0,3.553,457.0,17.458
2020-04-04,Australia,AUS,95.0,3.629,490.0,18.718
2020-04-05,Australia,AUS,96.0,3.667,457.0,17.458
2020-04-06,Australia,AUS,93.0,3.553,305.0,11.651
2020-04-07,Australia,AUS,87.0,3.323,263.0,10.047
2020-04-08,Australia,AUS,81.0,3.094,262.0,10.009
2020-04-09,Australia,AUS,81.0,3.094,247.0,9.436
2020-04-10,Australia,AUS,80.0,3.056,240.0,9.168
2020-04-11,Australia,AUS,83.0,3.171,239.0,9.13
2020-04-12,Australia,AUS,79.0,3.018,227.0,8.672
2020-04-13,Australia,AUS,80.0,3.056,230.0,8.786
2020-04-14,Australia,AUS,73.0,2.789,214.0,8.175
2020-04-15,Australia,AUS,67.0,2.559,201.0,7.678
2020-04-16,Australia,AUS,60.0,2.292,192.0,7.335
2020-04-17,Australia,AUS,55.0,2.101,184.0,7.029
2020-04-18,Australia,AUS,48.0,1.834,177.0,6.762
2020-04-19,Australia,AUS,49.0,1.872,170.0,6.494
2020-04-20,Australia,AUS,47.0,1.795,167.0,6.38
2020-04-21,Australia,AUS,46.0,1.757,161.0,6.15
2020-04-22,Australia,AUS,45.0,1.719,152.0,5.807
2020-04-23,Australia,AUS,42.0,1.604,138.0,5.272
2020-04-24,Australia,AUS,43.0,1.643,129.0,4.928
2020-04-25,Australia,AUS,43.0,1.643,115.0,4.393
2020-04-26,Australia,AUS,43.0,1.643,113.0,4.317
2020-04-27,Australia,AUS,42.0,1.604,109.0,4.164
2020-04-28,Australia,AUS,38.0,1.452,93.0,3.553
2020-04-29,Australia,AUS,34.0,1.299,89.0,3.4
2020-04-30,Australia,AUS,28.0,1.07,83.0,3.171
2020-05-01,Australia,AUS,28.0,1.07,79.0,3.018
