date,World,Australia,Poland
2020-01-05,0.0,0.0,0.0
2020-01-06,0.0,0.0,0.0
2020-01-07,0.0,0.0,0.0
2020-01-08,0.0,0.0,0.0
2020-01-09,0.0,0.0,0.0
2020-01-10,0.0,0.0,0.0
2020-01-11,0.0,0.0,0.0
2020-01-12,0.006,0.0,0.0
2020-01-13,0.006,0.0,0.0
2020-01-14,0.006,0.0,0.0
2020-01-15,0.006,0.0,0.0
2020-01-16,0.006,0.0,0.0
2020-01-17,0.006,0.0,0.0
2020-01-18,0.006,0.0,0.0
2020-01-19,0.017,0.0,0.0
2020-01-20,0.017,0.0,0.0
2020-01-21,0.017,0.0,0.0
2020-01-22,0.017,0.0,0.0
2020-01-23,0.017,0.0,0.0
2020-01-24,0.017,0.0,0.0
2020-01-25,0.017,0.0,0.0
2020-01-26,0.254,0.153,0.0
2020-01-27,0.254,0.153,0.0
2020-01-28,0.254,0.153,0.0
2020-01-29,0.254,0.153,0.0
2020-01-30,0.254,0.153,0.0
2020-01-31,0.254,0.153,0.0
2020-02-01,0.254,0.153,0.0
2020-02-02,1.824,0.458,0.0
2020-02-03,1.824,0.458,0.0
2020-02-04,1.824,0.458,0.0
2020-02-05,1.824,0.458,0.0
2020-02-06,1.824,0.458,0.0
2020-02-07,1.824,0.458,0.0
2020-02-08,1.824,0.458,0.0
2020-02-09,4.701,0.572,0.0
2020-02-10,4.701,0.572,0.0
2020-02-11,4.701,0.572,0.0
2020-02-12,4.701,0.572,0.0
2020-02-13,4.701,0.572,0.0
2020-02-14,4.701,0.572,0.0
2020-02-15,4.701,0.572,0.0
2020-02-16,8.637,0.572,0.0
2020-02-17,8.637,0.572,0.0
2020-02-18,8.637,0.572,0.0
2020-02-19,8.637,0.572,0.0
2020-02-20,8.637,0.572,0.0
2020-02-21,8.637,0.572,0.0
2020-02-22,8.637,0.572,0.0
2020-02-23,9.794,0.84,0.0
2020-02-24,9.794,0.84,0.0
2020-02-25,9.794,0.84,0.0
2020-02-26,9.794,0.84,0.0
2020-02-27,9.794,0.84,0.0
2020-02-28,9.794,0.84,0.0
2020-02-29,9.794,0.84,0.0
2020-03-01,10.829,0.954,0.0
2020-03-02,10.829,0.954,0.0
2020-03-03,10.829,0.954,0.0
2020-03-04,10.829,0.954,0.0
2020-03-05,10.829,0.954,0.0
2020-03-06,10.829,0.954,0.0
2020-03-07,10.829,0.954,0.0
2020-03-08,13.358,2.672,0.156
2020-03-09,13.358,2.672,0.156
2020-03-10,13.358,2.672,0.156
2020-03-11,13.358,2.672,0.156
2020-03-12,13.358,2.672,0.156
2020-03-13,13.358,2.672,0.156
2020-03-14,13.358,2.672,0.156
2020-03-15,20.922,9.503,2.683
2020-03-16,20.922,9.503,2.683
2020-03-17,20.922,9.503,2.683
2020-03-18,20.922,9.503,2.683
2020-03-19,20.922,9.503,2.683
2020-03-20,20.922,9.503,2.683
2020-03-21,20.922,9.503,2.683
2020-03-22,42.366,41.258,13.911
2020-03-23,42.366,41.258,13.911
2020-03-24,42.366,41.258,13.911
2020-03-25,42.366,41.258,13.911
2020-03-26,42.366,41.258,13.911
2020-03-27,42.366,41.258,13.911
2020-03-28,42.366,41.258,13.911
2020-03-29,86.36,145.376,42.672
2020-03-30,86.36,145.376,42.672
2020-03-31,86.36,145.376,42.672
2020-04-01,86.36,145.376,42.672
2020-04-02,86.36,145.376,42.672
2020-04-03,86.36,145.376,42.672
2020-04-04,86.36,145.376,42.672
2020-04-05,144.721,215.068,94.488
2020-04-06,144.721,215.068,94.488
2020-04-07,144.721,215.068,94.488
2020-04-08,144.721,215.068,94.488
2020-04-09,144.721,215.068,94.488
2020-04-10,144.721,215.068,94.488
2020-04-11,144.721,215.068,94.488
2020-04-12,210.354,240.029,165.556
2020-04-13,210.354,240.029,165.556
2020-04-14,210.354,240.029,165.556
2020-04-15,210.354,240.029,165.556
2020-04-16,210.354,240.029,165.556
2020-04-17,210.354,240.029,165.556
2020-04-18,210.354,240.029,165.556
2020-04-19,273.815,251.365,227.741
2020-04-20,273.815,251.365,227.741
2020-04-21,273.815,251.365,227.741
2020-04-22,273.815,251.365,227.741
2020-04-23,273.815,251.365,227.741
2020-04-24,273.815,251.365,227.741
2020-04-25,273.815,251.365,227.741
2020-04-26,341.44,255.83,293.677
2020-04-27,341.44,255.83,293.677
2020-04-28,341.44,255.83,293.677
2020-04-29,341.44,255.83,293.677
2020-04-30,341.44,255.83,293.677
2020-05-01,341.44,255.83,293.677
2020-05-02,341.44,255.83,293.677
2020-05-03,409.736,258.883,348.437
2020-05-04,409.736,258.883,348.437
2020-05-05,409.736,258.883,348.437
2020-05-06,409.736,258.883,348.437
2020-05-07,409.736,258.883,348.437
2020-05-08,409.736,258.883,348.437
2020-05-09,409.736,258.883,348.437
2020-05-10,482.526,264.456,407.73
2020-05-11,482.526,264.456,407.73
2020-05-12,482.526,264.456,407.73
2020-05-13,482.526,264.456,407.73
2020-05-14,482.526,264.456,407.73
2020-05-15,482.526,264.456,407.73
2020-05-16,482.526,264.456,407.73
2020-05-17,558.952,268.54,475.619
2020-05-18,558.952,268.54,475.619
2020-05-19,558.952,268.54,475.619
2020-05-20,558.952,268.54,475.619
2020-05-21,558.952,268.54,475.619
2020-05-22,558.952,268.54,475.619
2020-05-23,558.952,268.54,475.619
2020-05-24,646.155,271.211,545.281
2020-05-25,646.155,271.211,545.281
2020-05-26,646.155,271.211,545.281
2020-05-27,646.155,271.211,545.281
2020-05-28,646.155,271.211,545.281
2020-05-29,646.155,271.211,545.281
2020-05-30,646.155,271.211,545.281
2020-05-31,737.403,274.226,614.056
2020-06-01,737.403,274.226,614.056
2020-06-02,737.403,274.226,614.056
2020-06-03,737.403,274.226,614.056
2020-06-04,737.403,274.226,614.056
2020-06-05,737.403,274.226,614.056
2020-06-06,737.403,274.226,614.056
2020-06-07,843.128,276.898,676.97
2020-06-08,843.128,276.898,676.97
2020-06-09,843.128,276.898,676.97
2020-06-10,843.128,276.898,676.97
2020-06-11,843.128,276.898,676.97
2020-06-12,843.128,276.898,676.97
2020-06-13,843.128,276.898,676.97
2020-06-14,956.111,278.692,755.932
2020-06-15,956.111,278.692,755.932
2020-06-16,956.111,278.692,755.932
2020-06-17,956.111,278.692,755.932
2020-06-18,956.111,278.692,755.932
2020-06-19,956.111,278.692,755.932
2020-06-20,956.111,278.692,755.932
2020-06-21,1085.211,283.806,823.744
2020-06-22,1085.211,283.806,823.744
2020-06-23,1085.211,283.806,823.744
2020-06-24,1085.211,283.806,823.744
2020-06-25,1085.211,283.806,823.744
2020-06-26,1085.211,283.806,823.744
2020-06-27,1085.211,283.806,823.744
2020-06-28,1230.17,291.63,878.295
2020-06-29,1230.17,291.63,878.295
2020-06-30,1230.17,291.63,878.295
2020-07-01,1230.17,291.63,878.295
2020-07-02,1230.17,291.63,878.295
2020-07-03,1230.17,291.63,878.295
2020-07-04,1230.17,291.63,878.295
2020-07-05,1396.475,319.148,930.528
2020-07-06,1396.475,319.148,930.528
2020-07-07,1396.475,319.148,930.528
2020-07-08,1396.475,319.148,930.528
2020-07-09,1396.475,319.148,930.528
2020-07-10,1396.475,319.148,930.528
2020-07-11,1396.475,319.148,930.528
2020-07-12,1575.346,364.605,977.473
2020-07-13,1575.346,364.605,977.473
2020-07-14,1575.346,364.605,977.473
2020-07-15,1575.346,364.605,977.473
2020-07-16,1575.346,364.605,977.473
2020-07-17,1575.346,364.605,977.473
2020-07-18,1575.346,364.605,977.473
2020-07-19,1772.381,436.663,1035.437
2020-07-20,1772.381,436.663,1035.437
2020-07-21,1772.381,436.663,1035.437
2020-07-22,1772.381,436.663,1035.437
2020-07-23,1772.381,436.663,1035.437
2020-07-24,1772.381,436.663,1035.437
2020-07-25,1772.381,436.663,1035.437
2020-07-26,1990.533,532.423,1110.36
2020-07-27,1990.533,532.423,1110.36
2020-07-28,1990.533,532.423,1110.36
2020-07-29,1990.533,532.423,1110.36
2020-07-30,1990.533,532.423,1110.36
2020-07-31,1990.533,532.423,1110.36
2020-08-01,1990.533,532.423,1110.36
2020-08-02,2220.746,659.593,1207.376
2020-08-03,2220.746,659.593,1207.376
2020-08-04,2220.746,659.593,1207.376
2020-08-05,2220.746,659.593,1207.376
2020-08-06,2220.746,659.593,1207.376
2020-08-07,2220.746,659.593,1207.376
2020-08-08,2220.746,659.593,1207.376
2020-08-09,2450.889,789.97,1332.969
2020-08-10,2450.889,789.97,1332.969
2020-08-11,2450.889,789.97,1332.969
2020-08-12,2450.889,789.97,1332.969
