date,World,Australia,Poland
2020-01-05,0.0,0.0,0.0
2020-01-06,0.0,0.0,0.0
2020-01-07,0.0,0.0,0.0
2020-01-08,0.0,0.0,0.0
2020-01-09,0.0,0.0,0.0
2020-01-10,0.0,0.0,0.0
2020-01-11,0.0,0.0,0.0
2020-01-12,0.001,0.0,0.0
2020-01-13,0.001,0.0,0.0
2020-01-14,0.001,0.0,0.0
2020-01-15,0.001,0.0,0.0
2020-01-16,0.001,0.0,0.0
2020-01-17,0.001,0.0,0.0
2020-01-18,0.001,0.0,0.0
2020-01-19,0.001,0.0,0.0
2020-01-20,0.001,0.0,0.0
2020-01-21,0.001,0.0,0.0
2020-01-22,0.001,0.0,0.0
2020-01-23,0.001,0.0,0.0
2020-01-24,0.001,0.0,0.0
2020-01-25,0.001,0.0,0.0
2020-01-26,0.008,0.0,0.0
2020-01-27,0.008,0.0,0.0
2020-01-28,0.008,0.0,0.0
2020-01-29,0.008,0.0,0.0
2020-01-30,0.008,0.0,0.0
2020-01-31,0.008,0.0,0.0
2020-02-01,0.008,0.0,0.0
2020-02-02,0.047,0.0,0.0
2020-02-03,0.047,0.0,0.0
2020-02-04,0.047,0.0,0.0
2020-02-05,0.047,0.0,0.0
2020-02-06,0.047,0.0,0.0
2020-02-07,0.047,0.0,0.0
2020-02-08,0.047,0.0,0.0
2020-02-09,0.115,0.0,0.0
2020-02-10,0.115,0.0,0.0
2020-02-11,0.115,0.0,0.0
2020-02-12,0.115,0.0,0.0
2020-02-13,0.115,0.0,0.0
2020-02-14,0.115,0.0,0.0
2020-02-15,0.115,0.0,0.0
2020-02-16,0.223,0.0,0.0
2020-02-17,0.223,0.0,0.0
2020-02-18,0.223,0.0,0.0
2020-02-19,0.223,0.0,0.0
2020-02-20,0.223,0.0,0.0
2020-02-21,0.223,0.0,0.0
2020-02-22,0.223,0.0,0.0
2020-02-23,0.309,0.0,0.0
2020-02-24,0.309,0.0,0.0
2020-02-25,0.309,0.0,0.0
2020-02-26,0.309,0.0,0.0
2020-02-27,0.309,0.0,0.0
2020-02-28,0.309,0.0,0.0
2020-02-29,0.309,0.0,0.0
2020-03-01,0.374,0.0,0.0
2020-03-02,0.374,0.0,0.0
2020-03-03,0.374,0.0,0.0
2020-03-04,0.374,0.0,0.0
2020-03-05,0.374,0.0,0.0
2020-03-06,0.374,0.0,0.0
2020-03-07,0.374,0.0,0.0
2020-03-08,0.455,0.153,0.0
2020-03-09,0.455,0.153,0.0
2020-03-10,0.455,0.153,0.0
2020-03-11,0.455,0.153,0.0
2020-03-12,0.455,0.153,0.0
2020-03-13,0.455,0.153,0.0
2020-03-14,0.455,0.153,0.0
2020-03-15,0.787,0.267,0.078
2020-03-16,0.787,0.267,0.078
2020-03-17,0.787,0.267,0.078
2020-03-18,0.787,0.267,0.078
2020-03-19,0.787,0.267,0.078
2020-03-20,0.787,0.267,0.078
2020-03-21,0.787,0.267,0.078
2020-03-22,2.001,0.343,0.13
2020-03-23,2.001,0.343,0.13
2020-03-24,2.001,0.343,0.13
2020-03-25,2.001,0.343,0.13
2020-03-26,2.001,0.343,0.13
2020-03-27,2.001,0.343,0.13
2020-03-28,2.001,0.343,0.13
2020-03-29,4.79,0.611,0.469
2020-03-30,4.79,0.611,0.469
2020-03-31,4.79,0.611,0.469
2020-04-01,4.79,0.611,0.469
2020-04-02,4.79,0.611,0.469
2020-04-03,4.79,0.611,0.469
2020-04-04,4.79,0.611,0.469
2020-04-05,9.402,1.374,2.058
2020-04-06,9.402,1.374,2.058
2020-04-07,9.402,1.374,2.058
2020-04-08,9.402,1.374,2.058
2020-04-09,9.402,1.374,2.058
2020-04-10,9.402,1.374,2.058
2020-04-11,9.402,1.374,2.058
2020-04-12,15.369,2.328,5.419
2020-04-13,15.369,2.328,5.419
2020-04-14,15.369,2.328,5.419
2020-04-15,15.369,2.328,5.419
2020-04-16,15.369,2.328,5.419
2020-04-17,15.369,2.328,5.419
2020-04-18,15.369,2.328,5.419
2020-04-19,21.622,2.786,8.988
2020-04-20,21.622,2.786,8.988
2020-04-21,21.622,2.786,8.988
2020-04-22,21.622,2.786,8.988
2020-04-23,21.622,2.786,8.988
2020-04-24,21.622,2.786,8.988
2020-04-25,21.622,2.786,8.988
2020-04-26,27.181,3.244,13.573
2020-04-27,27.181,3.244,13.573
2020-04-28,27.181,3.244,13.573
2020-04-29,27.181,3.244,13.573
2020-04-30,27.181,3.244,13.573
2020-05-01,27.181,3.244,13.573
2020-05-02,27.181,3.244,13.573
2020-05-03,32.329,3.778,17.22
2020-05-04,32.329,3.778,17.22
2020-05-05,32.329,3.778,17.22
2020-05-06,32.329,3.778,17.22
2020-05-07,32.329,3.778,17.22
2020-05-08,32.329,3.778,17.22
2020-05-09,32.329,3.778,17.22
2020-05-10,37.201,3.855,20.398
2020-05-11,37.201,3.855,20.398
2020-05-12,37.201,3.855,20.398
2020-05-13,37.201,3.855,20.398
2020-05-14,37.201,3.855,20.398
2020-05-15,37.201,3.855,20.398
2020-05-16,37.201,3.855,20.398
2020-05-17,41.728,3.931,23.811
2020-05-18,41.728,3.931,23.811
2020-05-19,41.728,3.931,23.811
2020-05-20,41.728,3.931,23.811
2020-05-21,41.728,3.931,23.811
2020-05-22,41.728,3.931,23.811
2020-05-23,41.728,3.931,23.811
2020-05-24,46.077,4.084,25.843
2020-05-25,46.077,4.084,25.843
2020-05-26,46.077,4.084,25.843
2020-05-27,46.077,4.084,25.843
2020-05-28,46.077,4.084,25.843
2020-05-29,46.077,4.084,25.843
2020-05-30,46.077,4.084,25.843
2020-05-31,50.254,4.084,27.614
2020-06-01,50.254,4.084,27.614
2020-06-02,50.254,4.084,27.614
2020-06-03,50.254,4.084,27.614
2020-06-04,50.254,4.084,27.614
2020-06-05,50.254,4.084,27.614
2020-06-06,50.254,4.084,27.614
2020-06-07,54.62,4.084,29.959
2020-06-08,54.62,4.084,29.959
2020-06-09,54.62,4.084,29.959
2020-06-10,54.62,4.084,29.959
2020-06-11,54.62,4.084,29.959
2020-06-12,54.62,4.084,29.959
2020-06-13,54.62,4.084,29.959
2020-06-14,59.035,4.084,32.199
2020-06-15,59.035,4.084,32.199
2020-06-16,59.035,4.084,32.199
2020-06-17,59.035,4.084,32.199
2020-06-18,59.035,4.084,32.199
2020-06-19,59.035,4.084,32.199
2020-06-20,59.035,4.084,32.199
2020-06-21,63.723,4.084,35.039
2020-06-22,63.723,4.084,35.039
2020-06-23,63.723,4.084,35.039
2020-06-24,63.723,4.084,35.039
2020-06-25,63.723,4.084,35.039
2020-06-26,63.723,4.084,35.039
2020-06-27,63.723,4.084,35.039
2020-06-28,68.32,4.122,37.358
2020-06-29,68.32,4.122,37.358
2020-06-30,68.32,4.122,37.358
2020-07-01,68.32,4.122,37.358
2020-07-02,68.32,4.122,37.358
2020-07-03,68.32,4.122,37.358
2020-07-04,68.32,4.122,37.358
2020-07-05,72.872,4.16,39.364
2020-07-06,72.872,4.16,39.364
2020-07-07,72.872,4.16,39.364
2020-07-08,72.872,4.16,39.364
2020-07-09,72.872,4.16,39.364
2020-07-10,72.872,4.16,39.364
2020-07-11,72.872,4.16,39.364
2020-07-12,77.728,4.313,40.849
2020-07-13,77.728,4.313,40.849
2020-07-14,77.728,4.313,40.849
2020-07-15,77.728,4.313,40.849
2020-07-16,77.728,4.313,40.849
2020-07-17,77.728,4.313,40.849
2020-07-18,77.728,4.313,40.849
2020-07-19,83.055,4.923,42.125
2020-07-20,83.055,4.923,42.125
2020-07-21,83.055,4.923,42.125
2020-07-22,83.055,4.923,42.125
2020-07-23,83.055,4.923,42.125
2020-07-24,83.055,4.923,42.125
2020-07-25,83.055,4.923,42.125
2020-07-26,88.661,6.641,43.349
2020-07-27,88.661,6.641,43.349
2020-07-28,88.661,6.641,43.349
2020-07-29,88.661,6.641,43.349
2020-07-30,88.661,6.641,43.349
2020-07-31,88.661,6.641,43.349
2020-08-01,88.661,6.641,43.349
2020-08-02,94.271,10.267,44.834
2020-08-03,94.271,10.267,44.834
2020-08-04,94.271,10.267,44.834
2020-08-05,94.271,10.267,44.834
2020-08-06,94.271,10.267,44.834
2020-08-07,94.271,10.267,44.834
2020-08-08,94.271,10.267,44.834
2020-08-09,99.99,14.312,46.892
2020-08-10,99.99,14.312,46.892
2020-08-11,99.99,14.312,46.892
2020-08-12,99.99,14.312,46.892
2020-08-13,99.99,14.312,46.892
2020-08-14,99.99,14.312,46.892
2020-08-15,99.99,14.312,46.892
2020-08-16,105.584,19.579,48.69
